,Pearson,Spearman
REGION,-0.0657598511228089,-0.09071538105320053
MEDIAN_SALE_PRICE,0.04046645801554493,0.1500906326649665
HOMES_SOLD,0.12233293783265606,0.24162618376890763
HOMES_SOLD_YOY,0.049516400871952485,0.09049301959653817
MEDIAN_SALE_PRICE_YOY,-0.017120612948889235,0.06910060575326417
PENDING_SALES,0.11524470756221715,
PENDING_SALES_YOY,0.10911480294450984,0.11816441402371997
MEDIAN_DOM,0.2263396042122176,0.47007841069400197
INVENTORY,-0.033577294283575455,0.06564261862383454
INVENTORY_YOY,0.03623118518976528,0.04127678572210461
AVG_SALE_TO_LIST,0.7264008033566014,0.8460659608396116
SOLD_ABOVE_LIST,0.9889395311803821,0.9882582853460271
ADJUSTED_LTV,0.88312509725743,0.8546090114875674
